feature,cj_mean,snatch_mean,difference,effect_size
elbow_mean,107.43110012558272,158.83897988001505,51.40787975443233,2.094808345804827
elbow_std,53.60301803193003,24.180060575405758,29.42295745652427,1.828011047379106
wrist_y_delta,-0.4279092308485283,-0.11709306327005227,0.310816167578476,1.7496342881785436
wrist_shoulder_distance_mean,0.09055792086951009,0.14044622844085095,0.049888307571340856,1.466523252378258
hip_std,30.133405111870676,46.68290549516678,16.549500383296103,1.3058613077138859
hip_mean,148.0059338335721,117.96672157446544,30.039212259106662,1.2424791000022135
knee_mean,151.43971921812812,128.36473846435547,23.07498075377265,1.241780236687102
overhead_span_pct,0.7496962772225434,0.47444313997402787,0.2752531372485155,1.2404841072629549
knee_std,30.464424101811534,46.67552716533343,16.211103063521893,1.2253243914545966
late_wrist_y_std,0.06788553240410275,0.13698299873309827,0.06909746632899552,1.2208900944159378
wrist_y_mean,0.4072739096745005,0.5218495707958937,0.11457566112139317,1.130557753611886
overhead_ratio,0.5988216931527516,0.37999947896848124,0.21882221418427034,1.056803350875961
wrist_shoulder_distance_std,0.0619365684710056,0.03940020011699133,0.02253636835401427,1.0378661676821177
late_min_knee,127.24282312843035,81.2121261159579,46.030697012472444,1.0097444681076917
min_hip_angle,54.21566358883426,26.03553970033924,28.18012388849502,0.8899351608098199
hip_min,54.21566358883426,26.03553970033924,28.18012388849502,0.8899351608098199
knee_min,55.305020684341216,26.52390758941571,28.781113094925505,0.8806481658550736
min_knee_angle,55.305020684341216,26.52390758941571,28.781113094925505,0.8806481658550736
early_late_overhead_delta,0.7135616750368532,0.40762518734360736,0.30593648769324583,0.8065289526383144
last_overhead_pct,0.9493289730458889,0.7911565092702707,0.15817246377561822,0.777137545458549
wrist_y_max,0.7157842916137768,0.7779172187050184,0.06213292709124163,0.730482191353561
knee_velocity_peak,58.50349955288869,87.8647829691569,29.361283416268215,0.7263937922528098
wrist_shoulder_distance_delta,-0.022132888471461675,0.026225754758343073,0.04835864322980475,0.7161348606036886
early_min_knee,57.95647910968313,32.066219252844654,25.890259856838476,0.6925772240181374
wrist_path_length,1.6613726860509728,2.605199433863163,0.9438267478121902,0.69060476438315
first_overhead_pct,0.23576729772788174,0.38353132128637907,0.14776402355849733,0.6834969482466526
wrist_y_std,0.1376924432269385,0.1717148304645282,0.03402238723758971,0.6392007788818457
wrist_shoulder_distance_min,0.011413613738182372,0.02708322572774094,0.015669611989558567,0.6362331253754766
hip_path_length,0.9449583182357392,1.2113423869013786,0.26638406866563946,0.5909039751505213
hip_y_std,0.05790276417315424,0.07002229891562207,0.012119534742467832,0.5569752998216018
elbow_min,22.846327699580282,43.80174209177494,20.95541439219466,0.5077473987515889
min_knee_time_pct,0.23413108044110661,0.3512740146640378,0.11714293422293118,0.4984749220913686
late_overhead_flag,0.08490566037735849,0.2708333333333333,0.18592767295597484,0.4968052253354786
hip_y_mean,0.5844441283986254,0.6133729169766108,0.02892878857798542,0.4923668382863806
max_elbow_angle,177.8820213461822,178.81125577290854,0.9292344267263388,0.45954726068476964
elbow_max,177.8820213461822,178.81125577290854,0.9292344267263388,0.45954726068476964
min_hip_time_pct,0.20119966719440133,0.30205837966059335,0.10085871246619202,0.4314387372422702
knee_velocity_mean,4.934110891144231,6.55269584308068,1.618584951936449,0.43116512619379094
elbow_velocity_mean,10.472755486110472,7.594409284492333,2.8783462016181387,0.419337894870885
mean_hip_motion,0.006486467746380702,0.005391103482300673,0.0010953642640800293,0.39739410330169567
hip_velocity_mean,0.006486467746380702,0.005391103482300673,0.0010953642640800293,0.39739410330169567
wrist_shoulder_distance_max,0.20133642100219457,0.2213481430274745,0.020011722025279927,0.3467579017392723
wrist_vertical_range,0.507486213209494,0.5409309652944406,0.03344475208494657,0.21409030978893445
hip_vertical_range,0.2488119458814837,0.26929638410607976,0.020484438224596058,0.21205639813239738
wrist_y_min,0.20829807819341714,0.23698625207180157,0.028688173878384432,0.20789991792377058
hip_max,177.10459093777638,173.86745929718018,3.2371316405962034,0.19753348014772001
overhead_jitter,0.081815653006142,0.07553839217871423,0.006277260827427772,0.18773205722202885
hip_y_max,0.7309139044779651,0.7465019474426905,0.01558804296472538,0.1873658467393042
knee_max,178.72181341783056,176.77055676778158,1.9512566500489754,0.1836927728226002
elbow_velocity_peak,116.88654899597168,108.51532506942749,8.37122392654419,0.18278364039662645
has_overhead,0.9716981132075472,0.9375,0.034198113207547176,0.16340189428401627
knee_delta,48.29168168553766,41.76827732721964,6.523404358318018,0.13631209307984835
mean_wrist_motion,0.01264998854911126,0.011483403029463516,0.0011665855196477445,0.13303705099946775
wrist_velocity_mean,0.01264998854911126,0.011483403029463516,0.0011665855196477445,0.13303705099946775
bottom_to_overhead_time,0.0016362161973034544,0.03225730794171492,0.030621091744411466,0.11933851289294793
elbow_delta,1.5487150156273033,6.137345472971599,4.588630457344295,0.10844765550219887
overhead_near_bottom,0.43042452830188677,0.3828125,0.047612028301886766,0.1057980354187679
max_wrist_motion,0.12383078404192652,0.1327310651540756,0.008900281112149078,0.09873373550131377
wrist_velocity_peak,0.12383078404192652,0.1327310651540756,0.008900281112149078,0.09873373550131377
hip_delta,60.01112095814831,56.355395436286926,3.6557255218613847,0.07290843124946379
hip_y_delta,-0.023425945976995054,-0.030192432925105085,0.00676648694811003,0.06464422342023558
hip_y_min,0.4821019585964815,0.47720556395749253,0.0048963946389889434,0.06064507464358123
hip_velocity_peak,0.07807015416757113,0.076859846090277,0.0012103080772941227,0.028970685482595605
max_hip_motion,0.07807015416757113,0.076859846090277,0.0012103080772941227,0.028970685482595605
shoulder_delta,0.0,0.0,0.0,0.0
max_shoulder_angle,0.0,0.0,0.0,0.0
shoulder_mean,0.0,0.0,0.0,0.0
shoulder_std,0.0,0.0,0.0,0.0
shoulder_min,0.0,0.0,0.0,0.0
shoulder_max,0.0,0.0,0.0,0.0
